1.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0664294,0.001946856,0.41341195,0.44281444,0.07539738,0.58879244,0.2890244,0.12218316,0.14406154,0.20741464,0.6485238
10.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.089459956,0.23923169,0.5359168,0.12351305,0.011878496,0.110860944,0.39643213,0.49270692,0.31348258,0.58421445,0.10230296
11.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8833156,0.10156198,0.008591667,0.003794271,0.002736458,0.72597134,0.0449625,0.22906615,0.0180375,0.05528646,0.92667603
12.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.24679297,0.006000434,0.6584983,0.079917535,0.008790799,0.9818069,0.00722309,0.010970052,0.1689987,0.11764366,0.7133576
13.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2866263,0.08930599,0.008666666,0.56639886,0.04900217,0.6837652,0.08069184,0.23554297,0.01770356,0.7669974,0.21529904
14.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.88027126,0.017713975,0.07160634,0.017142361,0.013266059,0.9362335,0.007671007,0.056095485,0.14038324,0.30620486,0.5534119
15.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9993698,2.34E-05,0,2.34E-05,5.83E-04,1,0,0,0.9838559,0.009812066,0.006332032
16.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8709872,0.04685137,0.03396364,0.039583817,0.008614005,0.46030527,0.46472174,0.074972995,0.086967595,0.45196614,0.46106628
17.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1720136,0.024007162,0.25597635,0.44376373,0.10423914,0.93041736,0.06211217,0.007470449,0.373408,0.5135142,0.1130778
18.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9861,0.003824749,0.005268133,0.002548708,0.002258391,0.9019406,0.09421537,0.003844039,0.018023727,0.73394674,0.24802952
19.jpg,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.34501648,0.09717178,0.17628098,0.30986533,0.07166544,0.9788844,0.006047567,0.015068054,0.06610616,0.49676642,0.43712744
2.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590111,1.97E-04,0.09635272,0.29847077,0.014868345,0.9912695,0.004537037,0.004193432,0.18769929,0.1947696,0.6175311
20.jpg,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.7879079,0.06380844,0.039288837,0.037821453,0.07117335,0.5354894,0.27982202,0.18468857,0.2956594,0.40059152,0.30374908
21.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44932222,0.11390972,0.42954722,0.006681944,5.39E-04,0.6811507,0.26477987,0.054069445,0.09674445,0.28388125,0.61937433
22.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15065973,2.08E-05,0.7330146,0.08685,0.02945486,0.26005,0.29000625,0.44994375,0,0.04764097,0.952359
